week,method,samples,objective
02/21-02/27,ZO_OG,4482,0.5621348840747526
02/21-02/27,ZO_OG,4620,0.37196414308124714
02/21-02/27,ZO_OG,4760,0.48944063990687087
02/21-02/27,ZO_OG,4902,0.38948245923057917
02/21-02/27,ZO_OG,5046,0.26457246595408085
02/21-02/27,ZO_OGVR,0,4.047041066070873
02/21-02/27,ZO_OGVR,50,3.858658402615336
02/21-02/27,ZO_OGVR,82,4.189311892332719
02/21-02/27,ZO_OGVR,116,3.2007610627883234
02/21-02/27,ZO_OGVR,152,1.5700196824165582
02/21-02/27,ZO_OGVR,190,0.8753192211882721
02/21-02/27,ZO_OGVR,230,0.6537488018469549
02/21-02/27,ZO_OGVR,272,3.080265015720532
02/21-02/27,ZO_OGVR,316,2.6850928697462324
02/21-02/27,ZO_OGVR,362,0.6118441264861869
02/21-02/27,ZO_OGVR,410,-0.4115704111518494
02/21-02/27,ZO_OGVR,460,-1.0001710252756457
02/21-02/27,ZO_OGVR,512,-3.5431261989993836
02/21-02/27,ZO_OGVR,566,-4.398743134199682
02/21-02/27,ZO_OGVR,622,-4.350156972349476
02/21-02/27,ZO_OGVR,680,-5.392545495775523
02/21-02/27,ZO_OGVR,740,-5.826679490699032
02/21-02/27,ZO_OGVR,802,-6.506725675546438
02/21-02/27,ZO_OGVR,866,-6.555878364429486
02/21-02/27,ZO_OGVR,932,-6.551202256719648
02/21-02/27,ZO_OGVR,1000,-6.513874701437007
02/21-02/27,ZO_OGVR,1070,-6.570765791611878
02/21-02/27,ZO_OGVR,1142,-6.561832551072319
02/21-02/27,ZO_OGVR,1216,-6.654260007055739
02/21-02/27,ZO_OGVR,1292,-6.722991409639419
02/21-02/27,ZO_OGVR,1370,-6.690519246740407
02/21-02/27,ZO_OGVR,1450,-6.751523222520957
02/21-02/27,ZO_OGVR,1532,-6.941996676560227
02/21-02/27,ZO_OGVR,1616,-7.276780016347438
02/21-02/27,ZO_OGVR,1702,-7.314155299151442
02/21-02/27,ZO_OGVR,1790,-7.412166230867523
02/21-02/27,ZO_OGVR,1880,-7.487105254418963
02/21-02/27,ZO_OGVR,1972,-7.470429598838616
02/21-02/27,ZO_OGVR,2066,-7.63358402739017
02/21-02/27,ZO_OGVR,2162,-7.6223392818158295
02/21-02/27,ZO_OGVR,2260,-7.703968105695107
02/21-02/27,ZO_OGVR,2360,-7.722917048146772
02/21-02/27,ZO_OGVR,2462,-7.736657685138873
02/21-02/27,ZO_OGVR,2566,-7.871236655735371
02/21-02/27,ZO_OGVR,2672,-7.900175887909116
02/21-02/27,ZO_OGVR,2780,-7.877439960057561
02/21-02/27,ZO_OGVR,2890,-8.045900926294463
02/21-02/27,ZO_OGVR,3002,-8.015762047221829
02/21-02/27,ZO_OGVR,3116,-8.13203089268298
02/21-02/27,ZO_OGVR,3232,-8.00818138666621
02/21-02/27,ZO_OGVR,3350,-8.143520621781754
02/21-02/27,ZO_OGVR,3470,-8.12664291024331
02/21-02/27,ZO_OGVR,3592,-8.187131125608706
02/21-02/27,ZO_OGVR,3716,-8.224435500284825
02/21-02/27,ZO_OGVR,3842,-8.251455249366689
02/21-02/27,ZO_OGVR,3970,-8.392490501802058
02/21-02/27,ZO_OGVR,4100,-8.35793477732121
02/21-02/27,ZO_OGVR,4232,-8.420822820717309
02/21-02/27,ZO_OGVR,4366,-8.38851289427568
02/21-02/27,ZO_OGVR,4502,-8.362681070927483
02/21-02/27,ZO_OGVR,4640,-8.334394738289303
02/21-02/27,ZO_OGVR,4780,-8.415248819050023
02/21-02/27,ZO_OGVR,4922,-8.457050157532649
02/21-02/27,ZO_OGVR,5066,-8.38590274309894
03/21-03/27,GZO_NS,0,2.7781347136308985
03/21-03/27,GZO_NS,90,-2.1600196623625716
03/21-03/27,GZO_NS,186,-4.1820828785685515
03/21-03/27,GZO_NS,288,-4.5499129929069895
03/21-03/27,GZO_NS,396,-4.6809641642479365
03/21-03/27,GZO_NS,510,-8.973909103715595
03/21-03/27,GZO_NS,630,-9.325448391630923
03/21-03/27,GZO_NS,756,-10.670386342486491
03/21-03/27,GZO_NS,888,-11.305544836859758
03/21-03/27,GZO_NS,1026,-11.223283649474736
03/21-03/27,GZO_NS,1170,-11.339997702963466
03/21-03/27,GZO_NS,1320,-11.445712815465528
03/21-03/27,GZO_NS,1476,-11.760704613832212
03/21-03/27,GZO_NS,1638,-11.74162502765224
03/21-03/27,GZO_NS,1806,-11.857784519099962
03/21-03/27,GZO_NS,1980,-11.854335881048518
03/21-03/27,GZO_NS,2160,-11.719761278717332
03/21-03/27,GZO_NS,2346,-11.786771971824308
03/21-03/27,GZO_NS,2538,-11.853355996395523
03/21-03/27,GZO_NS,2736,-11.852607591169912
03/21-03/27,GZO_NS,2940,-11.888808333148111
03/21-03/27,GZO_NS,3150,-12.100250141684688
03/21-03/27,GZO_NS,3366,-12.081242366132983
03/21-03/27,GZO_NS,3588,-11.998021179418625
03/21-03/27,GZO_NS,3816,-11.999614765552574
03/21-03/27,GZO_NS,4050,-12.088270076690034
03/21-03/27,GZO_NS,4290,-12.13527908244215
03/21-03/27,GZO_NS,4536,-12.019387198279732
03/21-03/27,GZO_NS,4788,-12.104590795784887
03/21-03/27,GZO_NS,5046,-12.123650577548728
03/21-03/27,GZO_HS,0,2.695135145209018
03/21-03/27,GZO_HS,60,2.5883702455783184
03/21-03/27,GZO_HS,124,2.7481277026855953
03/21-03/27,GZO_HS,192,-12.465555357903247
03/21-03/27,GZO_HS,264,-12.530681432242327
03/21-03/27,GZO_HS,340,-12.729749302989159
03/21-03/27,GZO_HS,420,-12.562103147113191
03/21-03/27,GZO_HS,504,-12.473505782002485
03/21-03/27,GZO_HS,592,-12.528145248351011
03/21-03/27,GZO_HS,684,-12.543134042180125
03/21-03/27,GZO_HS,780,-12.560595725565923
03/21-03/27,GZO_HS,880,-12.55751113086895
03/21-03/27,GZO_HS,984,-12.715774888615774
03/21-03/27,GZO_HS,1092,-12.594540805460033
03/21-03/27,GZO_HS,1204,-12.643317434103308
03/21-03/27,GZO_HS,1320,-12.624024978067057
03/21-03/27,GZO_HS,1440,-12.652994037647082
